record_number,title,full_text_obtained,extraction_status
78545,"The effect of exposure to farmed salmon on piscine orthoreovirus infection and fitness in wild Pacific salmon in British Columbia, Canada",Yes,pending
78756,"The use of palm oil in aquaculture feeds for salmonid species",Yes,pending
73504,"The rainbow trout genome, an important landmark for aquaculture and genome evolution",No,pending_fulltext
81102,"Sensing the Limits of Fixed Marine Property Rights in Changing Coastal Ecosystems: Salmon Aquaculture Concessions, Crises, and Governance Challenges in Southern Chile",Yes,pending
76311,"Tissue specific expression of antifreeze protein and growth hormone transgenes driven by the ocean pout (Macrozoarces americanus) antifreeze protein OP5a gene promoter in Atlantic salmon (Salmo salar)",Yes,pending
089-657-666-006-181,"Natural exposure to Lactococcus garvieae in rainbow trout: evidence of susceptibility and clinical outcomes",No,pending_fulltext
83780,"Holyrood Committee highlights concerns about the environmental impact of salmon farming",No,pending_fulltext
83800,"Effect of Gamma irradiation and frozen storage on microbial quality of Rainbow trout (Oncorhynchus mykiss) fillet",Yes,pending
73805,"Vaccination improves survival of Baltic salmon (Salmo solar) smolts in delayed release sea ranching (net-pen period)",Yes,pending
73814,"Susceptibility, behaviour and retention of the parasitic salmon louse (Lepeophtheirus salmonis) differ with Atlantic salmon population origin",Yes,pending
80468,"Measurement of fish size in atlantic salmon (salmo salar l.) cages using stereographic video techniques",Yes,pending
76408,"Transcriptome Analyses Reveal Lipid Metabolic Process in Liver Related to the Difference of Carcass Fat Content in Rainbow Trout (Oncorhynchus mykiss)",Yes,pending
82667,"A Serving of Farmed Salmon: How the Risks Outweigh the Benefits for Norwegians",No,pending_fulltext
72646,"Marine fungi isolated from Chilean fjord sediments can degrade oxytetracycline",Yes,pending
75525,"CD10+ Cells and IgM in Pathogen Response in Lumpfish (Cyclopterus lumpus) Eye Tissues",Yes,pending
81909,"The Ecological Embeddedness of Global Production Networks: Salmon Aquaculture and Palm Oil",No,pending_fulltext
82413,"Certification Issues for Some Common Aquaculture Species",Yes,pending
82707,"Breeding Performances Recorded in Rainbow Trout (Oncorhynchus Mykiss) Bred into Improved Closed Space Tanks",Yes,pending
73451,"A dominant firm model of price determination in the US fresh salmon market: 1985—88",No,pending_fulltext
82398,"Gender systems and women's labor force participation in the salmon industry in Chiloé, Chile",Yes,pending
029-936-459-045-888,"Regulating a 'fish out of place': A global assessment of farmed salmon escape policies and frameworks",Yes,pending
73576,"Feeding high inclusion of whole grain white lupin (Lupinus albus) to rainbow trout (Oncorhynchus mykiss): Effects on growth, nutrient digestibility, liver and intestine histology and muscle fatty acid composition",Yes,pending
75918,"Phenylalanine Hydroxylase RNAi Knockdown Negatively Affects Larval Development, Molting and Swimming Performance of Salmon Lice",Yes,pending
74395,"Basal and immune-responsive transcript expression of two Atlantic salmon interferon regulatory factor 2 (irf2) paralogues",No,pending_fulltext
73363,"Introgression of domesticated salmon changes life history and phenology of a wild salmon population",Yes,pending
82638,"Saprolegnia infections after vaccination in Scottish salmon aquaculture: a host-pathogen interaction influenced by stress",No,pending_fulltext
84045,"Influence of water temperature and energy values of nutrients on mass growth of rainbow trout (Oncorhynchus mykiss, Walbaum 1792) grown in cages",No,pending_fulltext
105-441-601-038-313,"Natural Antioxidants in Salmon Aquaculture: Processing Fate, Tissue Deposition, and Oxidative Protection.",Yes,pending
74767,"Biotreatment of fish farm effluents using the cyanobacterium Phormidium bohneri",No,pending_fulltext
82783,"Un Índice de Responsabilidad Social Empresarial para la Industria Salmonicultora en Chile",Yes,pending
82580,"Completion Report for Minnesota Technology, Inc. (June 30, 1999): Development of Salmon and Trout Aquaculture in Mine Pit Lakes (1989-1991); Commercial Aquaculture Implications for Water Quality (1991-1993); Constructed Wetlands for Treating Aquaculture Wastes (1993-1996)",No,pending_fulltext
79361,"Power requirement of swimming in chinook salmon and Atlantic salmon and implications for food conversion and growth performance",Yes,pending
79559,"Lipid profile of parr and smolts of Atlantic salmon (Salmo salar L.) reared in aquaculture under various lighting regimes",No,pending_fulltext
78087,"Statistical Modelling of Neighbor Treatment Effects in Aquaculture Clinical Trials",Yes,pending
80691,"Inter- and intra-population morphological differences between wild and farmed Atlantic salmon juveniles",Yes,pending
74994,"Anti-oxidative Properties of Lipids Extracted from Rainbow Trout (Oncorhynchus mykiss) Fed with Carotenoids and Conjugated Linoleic Acid",No,pending_fulltext
83699,"Antifungal and toxicity effects of new combined essential oils on Oncorhynchus mykiss in comparison with malachite green",Yes,pending
77916,"Prevalence of piscine orthoreovirus and salmonid alphavirus in sea-caught returning adult Atlantic salmon (Salmo salar L.) in northern Norway",Yes,pending
83062,"Seawater Entry during Parr-Smolt Transformation of Coho Salmon (Oncorhynchus Kisutch)",Yes,pending
091-162-729-204-060,"Threshold-based disease treatment approach modulates economic, conservation and evolutionary trade-offs in sea louse-salmon aquaculture system.",No,pending_fulltext
77521,"The metabolic barrier of the lower intestinal tract of salmon to the oral delivery of protein and peptide drugs",No,pending_fulltext
78967,"On the Willingness-to-Pay for Recreational Fishing—Escaped Farmed Versus Wild Atlantic Salmon",Yes,pending
76321,"Sea transfer and net pen cleaning induce changes in stress-related gene expression in commercial Atlantic salmon (Salmo salar) gill tissue",Yes,pending
76386,"Melanin: Definition, Cause and Its Role in Atlantic Salmon-A Review",Yes,pending
79169,"Susceptibility of Koi and Yellow Perch to Infectious Hematopoietic Necrosis Virus by Experimental Exposure",Yes,pending
80004,"Evaluating sustainable feeds for aquaculture by simulating Atlantic salmon lipid metabolism",Yes,pending
064-194-072-369-609,"Chronic stress and the development of a depression-like neuroendocrine profile in Atlantic salmon.",Yes,pending
82903,"Individual growth variability in farmed Atlantic salmon (Salmo salar L.): the role of social interactions",No,pending_fulltext
74574,"Genetic diversity and antimicrobial resistance of Flavobacterium psychrophilum isolated from cultured rainbow trout Onchorynchus mykiss (Walbaum) in Spain",Yes,pending
79012,"Changes in fatty acid composition and stable isotope signature of Atlantic cod (Gadus morhua) in response to laboratory dietary shifts",No,pending_fulltext
77196,"Fish as feed: Using economic allocation to quantify the Fish in : Fish out ratio of major fed aquaculture species",Yes,pending
76959,"Collaborative study for quantification of Anisakis larvae in spiked salmon fillets (Salmo salar) by a modified Codex digestion method",Yes,pending
160-894-098-809-999,"Towards a better understanding of the evacuation time of salmon lice (Lepeophtheirus salmonis) in lumpfish (Cyclopterus lumpus)",Yes,pending
78154,"Freshwater fisheries research in New Zealand: Processes, projects, and people",Yes,pending
81737,"Development of simulation models for transmission of Salmonid Rickettsial Septicaemia between salt water fish farms in Chile",No,pending_fulltext
74286,"High immune diversity in farmed Atlantic salmon (Salmo salar L.)",Yes,pending
82901,"Isolation of Neoparamoeba pemaquidensis Page, 1987 from Marine and Estuarine Sediments in Tasmania",No,pending_fulltext
81501,"Transcriptome Profiling of Long Non-coding RNAs During the Atlantic Salmon Smoltification Process",Yes,pending
79494,"Gut Associated Lymphoid Tissue (GALT) primary cells and stable cell lines as predictive models for intestinal health in rainbow trout (Oncorhynchus mykiss)",Yes,pending
81642,"Assessment of interbreeding and introgression of farm genes into a small Scottish Atlantic salmon Salmo salar stock: ad hoc samples - ad hoc results?",Yes,pending
79374,"Aerobic Exercise Training With Optimal Intensity Increases Cardiac Thermal Tolerance in Juvenile Rainbow Trout",Yes,pending
77451,"Contracts in the Salmon Aquaculture Industry: An Analysis of Norwegian Salmon Exports",Yes,pending
78719,"Molecular markers of cytotoxicity induced with copper-contained pesticides",Yes,pending
80318,"Aquaculture Chemicals",No,pending_fulltext
81648,"Impact of fish growing conditions and cooking methods on selenium species in swordfish and salmon fillets",No,pending_fulltext
75974,"Do Integrated Traceability Methods Cause Conflict of Interest in the Farm-raised Atlantic salmon Industry?",Yes,pending
81518,"Sleeping With the Enemy? The Current Knowledge of Piscine Orthoreovirus (PRV) Immune Response Elicited to Counteract Infection",Yes,pending
82529,"Cutting edge of chromosome manipulation for aquaculture and conservation of salmonids",No,pending_fulltext
74149,"Immunity induced by recombinant attenuated IHNV (infectious hematopoietic necrosis virus)-GN438A expresses VP2 gene-encoded IPNV (infectious pancreatic necrosis virus) against both pathogens in rainbow trout",Yes,pending
78426,"Substitution of dietary fish oil with plant oils is associated with shortened mid intestinal folds in Atlantic salmon (Salmo salar)",Yes,pending
78118,"A systematic review and meta-analysis of the potential effect of medicinal plants on innate immunity of selected freshwater fish species: its implications for fish farming in Southern Africa",Yes,pending
117-514-406-975-520,"Impact of dietary gallic acid on growth indices and the expression of antioxidant, stress, and immunity-related genes in rainbow trout (Oncorhynchus mykiss)",Yes,pending
83549,"A Review of the Ecological Impacts of Selected Antibiotics and Antifoulants Currently used in the Tasmanian Salmonid Farming Industry (Marine Farming Phase)",Yes,pending
81098,"Single cell transcriptomics of Atlantic salmon (Salmo salar L.) liver reveals cellular heterogeneity and immunological responses to challenge by Aeromonas salmonicida",Yes,pending
81873,"Seasonality in live fish movements and its effects on epidemic dynamics",No,pending_fulltext
81878,"Inactivated Piscine orthoreovirus vaccine protects against heart and skeletal muscle inflammation in Atlantic salmon",Yes,pending
76898,"Benzoylphenyl ureas as veterinary antiparasitics. An overview and outlook with emphasis on efficacy, usage and resistance",Yes,pending
80253,"Sustainability issues related to feeding salmonids: a Canadian perspective",Yes,pending
80872,"Parasites From Fish Farms Driving Wild Salmon to Extinction",No,pending_fulltext
